label;msg_stemmed
Positif;['iring', 'dg', 'ubah', 'situasi', 'kini', 'kota', 'malang', 'kait', 'jumlah', 'tempat', 'olahraga', 'jasa', 'wisata', 'yg', 'sdh', 'verifikasi', 'sdh', 'buka', 'dg', 'terap', 'protokol', 'sehat', 'serah', 'surat', 'verifikasi', 'laku', 'ka', 'rabu']
Positif;['besok', 'kawasan', 'wisata', 'sehat', 'hawa', 'group', 'malang', 'buka', 'ikut', 'protokol', 'sehat', 'tentu', 'jangan', 'lupa', 'bawa', 'perlu', 'pribadi', 'alat', 'makan', 'minum', 'pribadi', 'alat', 'sholat', 'handsanitiser', 'salam', 'tahes']
Netral;['objek', 'wisata', 'malang', 'raya', 'udah', 'mulai', 'buka', 'nih', 'people', 'tetep', 'patuh', 'protokol', 'sehat', 'ngomongin', 'libur', 'kapan', 'libur', 'akhir', 'people', 'corona', 'serang']
Netral;['unit', 'usaha', 'yg', 'patuh', 'protokol', 'sehat', 'larang', 'operasi', 'transisi', 'malang', 'sedia', 'thermo', 'gun', 'hand', 'sanitizer', 'tempat', 'cuci', 'tangan', 'destinasi', 'wisata', 'buka', 'maksimal', 'kunjung', 'persen']
Netral;['babinsa', 'imbau', 'unjung', 'wisata', 'pantai', 'lon', 'malang', 'patuh', 'prokes']
Negatif;['kapolres', 'malang', 'kelola', 'wisata', 'jangan', 'untung', 'abai', 'prokes']
Negatif;['wisata', 'malang', 'memang', 'buka', 'prokes', 'ketat', 'surat', 'dr', 'pemkotpemda', 'karna', 'tau', 'banyak', 'langgar', 'prokes']
Netral;['angin', 'segar', 'wisata', 'nataru', 'wisata', 'longgar', 'pemda', 'tetap', 'awas', 'prokes', 'new', 'malang', 'pos', 'angin', 'segar', 'wisata', 'akhir', 'tahun', 'lama', 'libur', 'natal', 'tahun', 'baru', 'nataru', 'tempat', 'wisata', 'malang', 'raya', 'longgar', 'kelola', 'destinasi', 'wisata']
Negatif;['langgar', 'prokes', 'kapolres', 'malang', 'tutup', 'wisata', 'wbl']
Netral;['kayae', 'seh', 'tpi', 'batas', 'malang', 'ppkm', 'lvl', 'buka', 'wisata', 'prokes', 'cmiiw']
Positif;['siap', 'selalu', 'jaga', 'prokes', 'nawak', 'ngalam', 'jelang', 'buka', 'bbrp', 'wisata', 'malang', 'raya', 'uji', 'coba', 'buka', 'wisata', 'pasca', 'ppkm']
Negatif;['laku', 'wisata', 'kabupaten', 'malang', 'siap', 'terap', 'prokes', 'ketat', 'boleh', 'buka']
Netral;['selamat', 'sore', 'monggo', 'simak', 'bijak', 'ganjil', 'genap', 'adl', 'bagi', 'dr', 'uji', 'coba', 'prokes', 'pd', 'tempat', 'wisata', 'tentu', 'sesuai', 'inmendagri', 'pd', 'waktu', 'tentu', 'koridor', 'tentu', 'darimenuju', 'tempat', 'wisata', 'jd', 'bukan', 'semua', 'jalan', 'semua', 'waktu']
Netral;['guys', 'kurleb', 'thn', 'aku', 'off', 'dunia', 'wisata', 'pandemi', 'skg', 'aku', 'mulai', 'nih', 'tentu', 'skg', 'prokes', 'utk', 'akomodasi', 'selalu', 'steril', 'dipake', 'yuk', 'yg', 'mau', 'bromo', 'ijen', 'malang', 'bal', 'tanya', 'dm', 'aku']
Positif;['kapolres', 'malang', 'akbp', 'hendri', 'umar', 'pasti', 'langgar', 'protokol', 'sehat', 'prokes', 'covid', 'lama', 'libur', 'lebaran', 'maupun', 'tempat', 'tempat', 'wisata']
Positif;['balai', 'besar', 'pemdes', 'malang', 'pantau', 'terap', 'ppkm', 'tempat', 'wisata', 'jatim', 'teknologiwebidbalai', 'besar', 'pemdes', 'malang', 'pantau', 'terap', 'ppkm', 'tempat', 'wisata', 'jatim']
Negatif;['walkot', 'malang', 'iki', 'koyoke', 'bocor', 'alus', 'kapanane', 'ppkm', 'wisata', 'tutup', 'kabeh', 'malah', 'piknik', 'ng', 'balekambang', 'mggu', 'wing', 'jare', 'rapat', 'ng', 'karo', 'gubernur', 'tibae', 'lancong', 'ng', 'merapiwargae', 'sampek', 'ngomel']
Negatif;['akses', 'wisata', 'bromo', 'malang', 'tetap', 'buka', 'meski', 'status', 'ppkm', 'naik']
Negatif;['meski', 'status', 'ppkm', 'naik', 'akses', 'wisata', 'bromo', 'malang', 'tetapdibuka', 'malah', 'keruh', 'pandemi']
Negatif;['tempat', 'wisata', 'serbu', 'alun', 'alun', 'bobol', 'new', 'malang', 'pos', 'libur', 'natal', 'tepat', 'akhir', 'pekan', 'banyak', 'wisatawan', 'kunjung', 'malang', 'raya', 'batal', 'ppkm', 'level', 'bawa', 'berkah', 'kelola', 'tempat', 'wisata', 'wisata', 'serbu', 'alun', 'alun', 'bobol']
Netral;['wisata', 'kota', 'malang', 'buka', 'kapasitas', 'persen', 'ppkm', 'level']
Positif;['kabar', 'gembira', 'warga', 'malang', 'raya', 'perintah', 'pusat', 'batal', 'rencana', 'terap', 'ppkm', 'level', 'libur', 'natal', 'tahun', 'baru', 'nataru', 'perintah', 'kota', 'malang', 'akhir', 'tetap', 'buka', 'lokasi', 'wisata']
Netral;['jumlah', 'tempat', 'wisata', 'kota', 'malang', 'tutup', 'lama', 'terap', 'ppkm', 'level', 'libur', 'natal', 'tahun', 'baru']
Negatif;['ppkm', 'level', 'libur', 'nataru', 'laku', 'wisata', 'malang', 'raya', 'kelimpungan']
Netral;['ppkm', 'level', 'laku', 'wisata', 'minta', 'tutup', 'ikut', 'kata', 'perintah', 'penting', 'solusi', 'kata']
Netral;['wali', 'kota', 'malang', 'sutiaji', 'tegas', 'pihak', 'dukung', 'langkah', 'perintah', 'pusat', 'sebut', 'sesuai', 'atur', 'ppkm', 'level', 'wisata', 'taman', 'tutup', 'ujat', 'sutiaji', 'sabtu', 'pagi', 'objek', 'wisata', 'taman', 'kota', 'malang', 'tutup', 'mall', 'buka']
Netral;['level', 'terap', 'perintah', 'pusat', 'seluruh', 'wilayah', 'indonesia', 'belum', 'kota', 'malang', 'benar', 'turun', 'ppkm', 'level', 'karena', 'obyek', 'wisata', 'taman', 'boleh', 'kunjung', 'warga']
Netral;['objek', 'wisata', 'taman', 'kota', 'malang', 'tutup', 'sempat', 'buka', 'objek', 'wisata', 'taman', 'kota', 'malang', 'tutup', 'kini', 'tak', 'lepas', 'laku', 'batas', 'giat', 'masyarakat', 'ppkm']
Netral;['ppkm', 'level', 'tempat', 'wisata', 'taman', 'kota', 'malang', 'tutup']
Netral;['perintah', 'terap', 'ppkm', 'level', 'seluruh', 'wilayah', 'indonesia', 'kota', 'malang', 'tutup', 'beberapa', 'taman', 'wisata']
Netral;['wisata', 'gunung', 'bromo', 'kunjung', 'via', 'malang', 'turun', 'ppkm', 'level']
Positif;['perintah', 'kota', 'malang', 'jawa', 'timur', 'ingat', 'masyarakat', 'tetap', 'waspada', 'meski', 'kasus', 'covid', 'turun', 'pasal', 'potensi', 'tinggi', 'tular', 'jadi', 'mal', 'objek', 'wisata', 'tempat', 'kuliner', 'ppkm', 'level', 'mulai', 'buka']
Netral;['permisi', 'orang', 'dagang', 'pantai', 'wisata', 'malang', 'selatan', 'ingat', 'kab', 'malang', 'ppkm', 'level', 'wisata', 'buka', 'mohon', 'info', 'surat', 'edar', 'bupati', 'adakeluar', 'terima', 'kasih']
Netral;['kota', 'malang', 'ppkm', 'level', 'laku', 'wisata', 'harap', 'okupansi', 'naik']
Positif;['pemkot', 'boleh', 'anak', 'anak', 'main', 'mal', 'tempat', 'wisata', 'kota', 'malang', 'sesuai', 'inmendagri', 'nomor', 'kota', 'malang', 'terap', 'laku', 'batas', 'giat', 'masyarakat', 'ppkm', 'level']
Positif;['masuk', 'level', 'ppkm', 'sandiaga', 'uno', 'fasilitas', 'buka', 'destinasi', 'wisata', 'malang']
Netral;['waduh', 'kerja', 'pp', 'rs', 'rumah', 'pak', 'kurang', 'update', 'info', 'wisata', 'seperti', 'banyak', 'yg', 'tutup', 'ingat', 'ppkm', 'kota', 'batu', 'malang', 'naik', 'jadi', 'level', 'lengkap', 'mungkin', 'mimin']
Positif;['malang', 'tunggu', 'longgar', 'ppkm', 'anak', 'usia', 'bawah', 'tahun', 'masuk', 'mal', 'tempat', 'wisata']
Negatif;['buntut', 'panjang', 'giat', 'gowes', 'wali', 'kota', 'serta', 'jabat', 'pemkot', 'malang', 'nekad', 'terobos', 'masuk', 'kawasan', 'wisata', 'pantai', 'kondang', 'merak', 'ppkm', 'level']
Negatif;['jabat', 'harus', 'jadi', 'contoh', 'masyarakat', 'hidup', 'hari', 'hari', 'nyata', 'tak', 'laku', 'wali', 'kota', 'malang', 'diri', 'gowes', 'masuk', 'area', 'wisata', 'tutup', 'ppkm', 'level', 'kalau', 'masyarakat', 'sanksi', 'masa', 'jabat']
Negatif;['tenang', 'tenang', 'abis', 'bakal', 'kasih', 'klarifikasi', 'tetep', 'santai', 'langgar', 'prokes', 'kalau', 'berkungjung', 'wisata', 'malang']
Negatif;['destinasi', 'wisata', 'malang', 'raya', 'paksa', 'tutup', 'lama', 'ppkm', 'darurat']
Positif;['kasus', 'pandemi', 'makin', 'tingkat', 'aman', 'selamat', 'sama', 'seluruh', 'destinasi', 'wisata', 'kota', 'malang', 'tutup', 'lama', 'ppkm', 'darurat', 'juli']
Netral;['efek', 'ppkm', 'yg', 'panjang', 'terus', 'terus', 'sya', 'laku', 'pariwisata', 'jual', 'rumah', 'wisata', 'bukit', 'sentul', 'lawang', 'malang', 'gk', 'rasa', 'uda', 'hampir', 'bln', 'lama', 'ppkm', 'terap', 'pandemi', 'memang', 'luar', 'biasa', 'dampak', 'utk', 'semua']
Negatif;['laku', 'jabat', 'malkot', 'ker', 'rasa', 'paling', 'kuasa', 'paksa', 'masuk', 'wisata', 'pantai', 'selatan', 'malang', 'saat', 'tutup', 'ppkm', 'level']
Netral;['bupati', 'malang', 'tak', 'pernah', 'ijinkan', 'wisata', 'pantai', 'buka', 'lama', 'ppkm', 'level']
Negatif;['wisata', 'malang', 'tutup', 'ppkm', 'aku', 'ngotot', 'masuk', 'cek', 'cok', 'lah', 'sama', 'jaga', 'akhir', 'lahh', 'masuk', 'serta', 'tes', 'pcr', 'aku', 'ga', 'mau', 'kekeuh', 'yg', 'aku', 'mau', 'jadi', 'pcr']
Negatif;['padahal', 'batu', 'zona', 'merah', 'peta', 'malang', 'raya', 'ppkm', 'level', 'hri', 'minggu', 'kemarin', 'gila', 'kendara', 'luar', 'kota', 'masuk', 'barier', 'batas', 'udah', 'ga', 'jd', 'yaa', 'ga', 'batas', 'sama', 'sekali', 'padahal', 'lokasi', 'wisata', 'tutup', 'semua']
Netral;['ngulik', 'malang', 'wisata', 'gunung', 'bromo', 'malang', 'milik', 'banyak', 'juluk', 'salah', 'satu', 'kota', 'wisata', 'bromo', 'rupa', 'salah', 'satu', 'tempat', 'wajib', 'kunjung', 'kunjung', 'malang', 'ppkm', 'darurat', 'jawa', 'bal', 'kawasan', 'tutup', 'juli']
Negatif;['uwong', 'nang', 'grup', 'fb', 'malang', 'raya', 'tambah', 'bingung', 'wisata', 'padahal', 'ppkm', 'wes', 'kate', 'laksana']
Netral;['status', 'ppkm', 'malang', 'raya', 'masuk', 'kota', 'batu', 'turun', 'level', 'tempat', 'wisata', 'buka']
Netral;['atur', 'wisata', 'malang', 'lama', 'ppkm', 'level', 'laku', 'desember', 'hingga', 'januari']
Negatif;['jerit', 'wisata', 'kampung', 'tematik', 'kota', 'malang', 'tutup', 'lantar', 'laku', 'ppkm', 'wisata', 'kampung', 'tematik', 'kota', 'malang', 'tutup', 'lantar', 'laku', 'ppkm']
Netral;['wisata', 'kampung', 'tematik', 'kota', 'malang', 'tutup', 'lama', 'ppkm', 'darurat', 'banyak', 'destinasi', 'wisata', 'kampung', 'tematik', 'kota', 'malang', 'tutup', 'ppkm', 'darurat', 'jawa', 'bal', 'tanggal', 'hingga', 'juli']
Negatif;['wisata', 'gunung', 'bromo', 'malang', 'kunjung', 'ppkm', 'level', 'tak', 'kunjung', 'usai', 'banyak', 'masyarakat', 'ceroboh', 'nekat', 'masuk', 'kesana']
Negatif;['waktu', 'ppkm', 'rugi', 'banget', 'wisata', 'wisata', 'malang']
Negatif;['banyak', 'wisatawan', 'tida', 'pakai', 'masker', 'tempat', 'wisata', 'malang']
Negatif;['banyak', 'unjung', 'masuk', 'area', 'wisata', 'jaga', 'ketat', 'banyak', 'warga', 'masuk', 'sabar', 'serobot', 'brutal']
Negatif;['sebernya', 'pedulilindungi', 'sangat', 'penting', 'guna', 'kunjung', 'tempat', 'wisata', 'malang', 'banyak', 'banget', 'guna']
Negatif;['kapan', 'pandemi', 'akhir', 'ken', 'banget', 'wisata', 'malang', 'gabisabisa']
Negatif;['orang', 'orang', 'ga', 'pake', 'masker', 'jadi', 'was', 'was', 'keluar', 'mau', 'wisata']
Negatif;['ngeliat', 'berita', 'tv', 'yg', 'corona', 'jadi', 'takut', 'banget', 'mau', 'wisata', 'malang']
Positif;['corona', 'dah', 'selesai', 'nih', 'ayo', 'wisata', 'naik', 'kereta', 'malang']
Negatif;['kalo', 'main', 'malang', 'gabisa', 'seperti', 'corona', 'makin', 'sebar']
Netral;['tutup', 'kota', 'wisata', 'malang', 'akibat', 'dampak', 'tingkat', 'jumlah', 'kasus', 'baru', 'covid', 'varian', 'omicron', 'jadi', 'pukul', 'keras', 'pariwisata', 'malang', 'belum', 'malang', 'sempat', 'tutup', 'wilayah', 'khusus', 'malang', 'rupa', 'destinasi', 'wisata', 'utama', 'malang', 'sebut']
Negatif;['pandu', 'wisata', 'kota', 'malang', 'mulai', 'bangkrut', 'dampak', 'pandemi', 'covid']
Netral;['karanganyar', 'sertu', 'suparman', 'babinsa', 'koramil', 'tasikmadu', 'laksana', 'komsos', 'sama', 'bpritwan', 'karyawan', 'agro', 'wisata', 'sondokoro', 'desa', 'ngijo', 'tasikmadu', 'malang', 'bahas', 'aman', 'wisata', 'sondokoro', 'menghimbau', 'selalu', 'taat', 'protokol', 'sehat', 'cegah', 'covid', 'cara']
;['karanganyar', 'sertu', 'suparman', 'babinsa', 'koramil', 'tasikmadu', 'laksana', 'komsos', 'sama', 'bpritwan', 'karyawan', 'agro', 'wisata', 'sondokoro', 'desa', 'ngijo', 'tasikmadu', 'malang', 'bahas', 'aman', 'wisata', 'sondokoro', 'menghimbau', 'selalu', 'taat', 'protokol', 'sehat', 'cegah', 'covid', 'cara', 'netral']
