tweets`label;;
Its not even my fams. Itu suaminya sahabatku yang butuh donor plasma darah.  Jujur semalem aku ga tidur, mantau terus. Karena sahabatku juga positif dgn kondisi lagi hamil. Sebelumnya 2 anaknya yang positif covid.  Jadi tolong, psbb kali ini patuh ya 😔`negatif;;
‼️ jual netflix premium antihold ‼️  ✅ 1 bulan sharing 30k private 135  ✅ 3 bln shar 90 priv 330  💸ORDER? DM/WA  murah spotify disney hotstar apple music viu youtube wetv scribd iflix iqiyi amazon prime video hbo go psbb jawa-bali sejeong kim mingyu jjk1 taekook nussa afiqah  https://t.co/z5fh4RArsw`netral;;
@detikcom *PRESIDEN INDON SEPERTI CACING KURUS SEDANG KEPANASAN MELULU, HAJAR LOCKDOWN DARI PBB! BERGERAK PSBB MERASA HEBAT, TAPI INI SALAH, ITUPUN SERBA SALAH! TINGGAL YANG MELIHAT CACING MERASA JIJIK, YA JANGAN SALAHKAN LAYAKNYA MEMANG HANYA: DI INJAK!`negatif;;
@Hahahtaf @rivainursal Waktu jaman psbb awal banget. Gue kantor di daerah Kota ke kalimalang ga macet jdnya si ga stop n go jalannya.. Hehe`positif;;
Pagi pagi dibikin bingung sama orang2 yg ngeluh grafik positif covid naik, tp ngeluh jg sama berlakunya psbb. Jd mau gimana sih konsepnya?`negatif;;
Pak @jokowi apakah tahun ini ada relaksasi kredit lagi? Ini Bandung kan PSBB lagi, job saya pada dicancel lagi ..`negatif;;
@tanyainrl Abis psbb ketemu`netral;;
Braw! kalau mau masuk UB ke fakultas terutama FIA mau ke gedung kesekretariatan LOF LKM itu dibolehin ga ya untuk mahasiswa, soalnya kan tgl 11-25 lagi psbb tuh. Makasih`positif;;
tanggal 11 dah mulai psbb lagi yaampun sedih bgtttttt kapan berakhirnya ini😭`negatif;;
@hrdbacot Mingdep mulaibkena shift lagi, karena psbb. Orang2 dikantor dikurangin 🤧  Yang dikerjain adalah melawan rasa kantuk 😂`netral;;
@PAKYERI99 Kamu kalau mau jadi cabe-cabean belajar sama Krystal noona dia jago make up nya hahaha.   Gak dulu, psbb. ✋🏻`negatif;;
Pagi mau sarapan? Ga keburu masak? Keburu masuk kerja WFH? PSBB lagi? Atau masih hujan?  Tenang saja, kami sudah ready jam 06.00 pagi hlo untuk semua cabang Soto Sedaap Hj Widodo.   PSBB bukan jadi masalah disaat anda lapar. Segera #gofoodin aja #deliverygofood #gofoodindonesia  https://t.co/CGLDFu0Qeg`positif;;
"Sekian, xoxo. Stay safe and healthy semua! Inget! KITA LAGI PSBB!!!! 11-25 Januari 2021. Be cooperative dan ini bisa jadi ""beneran psbb"" kalo kita patuh dan regulasinya oke 😌`positif";;
Asu tiwas tuku klambi hypebeast malah PSBB`negatif;;
PSBB.  https://t.co/aRoLdkriBe`netral;;
@uinwsfess kan psbb`positif;;
Alhamdulillah psbb, jatah work from home tambah banyak hihi`positif;;
Jakarta boleh Psbb, hatimu jangan`positif;;
@FirstMediaCares Astaghfirullah kok gangguan terus itu apa sebabnya? Masa tiap minggu gangguan... mana ini Psbb lagi.. saya mau ngerjain tugas gimana caranya first mediiaaa 😭`negatif;;
g psbb aja kgn, apalagi psbb huh`netral;;
@rakyatb28312226 @setyotomo16 @TirtoID Udah dikasih bansos bahan makanan kan? Kok ga bisa dirumah aja? PSBB aja kok masih banyak berkeliaran? Anak2 di komplek kok ga bisa diatur orangtuanya diam dirumah aja? Itu masih psbb .. kalau lockdown anak lu gila stresss`negatif;;
‼️ jual netflix premium antihold ‼️  ✅ 1 bulan sharing 30k private 135  ✅ 3 bln shar 90 prv 330  ⚠️APP LAIN CEK PINNED  murah spotify disney hotstar apple music viu youtube wetv scribd iflix iqiyi amazon prime video hbo go psbb jawa-bali sejeong kim mingyu jjk1 taekook nussa 6`netral;;
@deerwoon Entah kak, skrng aja malah psbb lg 😭`negatif;;
@ArdianZA__ @DPR_RI Itu sih suami yg kena dampak PSBB,jadi gak bisa Ngopi😂😂  https://t.co/1OiM33RMPu`positif;;
Papua is starting to implement PSBB  https://t.co/Qrm9PBlbLr`positif;;
PSBB or not, tetap kerja dasteran forever`positif;;
Edisi Januari yang masih di perpanjang PSBB KOTA TANGERANG  https://t.co/w9FiElk8Hd`positif;;
PSPB -&gt; PSBB PPKN -&gt; PPKM Trus mata pelajaran apalagi yg bakal diplesetin? :(`negatif
PSBB sak tahun😭🤣🤣 asu ancene crazy rich suroboyo🤣`netral;;
@karawangfess Kagak psbb.. cuma kalo weekend suka ada rapid test di kecamatan sebelom pasar.. Jam 8-12.`positif;;
@naramotoo terus giliran pemerintah ada tindakan buat nanggulangin covid kaya psbb gitu, masyarakat malah nyalahin pemerintah seolah² semua salah pemerintah`negatif;;
@JombloKemaki iso ne ngakon PSBB ro tutup thok tapi solusi ne ra ono blas yo ancen mengkis2 tenan opo maneh sing buka e iyo jam 6 lagian i`negatif;;
#NAME?;;
@triwul82 Makin ga terkontrol. Pemimpinnya cm bs perpanjang PSBB doank`negatif;;
@alimaruv Sumpek njing psbb maneh, kon nang omah terus ngerti2 di sms kon suntik vaksin.`negatif;;
@TretanMuslim @Cittairlanie Setan psbb jg gk sih`netral;;
@Yousecret1 Nanti yaa kelar eas sama psbb`positif;;
@DwikySetyajik @ardnelan @Reza_Rahadi @andreasdwang @puttyprimasari @jokowi Vaksin adlh alternatif terakhir, PSBB lockdown TDK signifikan memutus mata rantai. Vaksin hrs global, punya target minimal 70% Perlu perjuangan pengorbanan masyarakat. Yg paling efektif terus 3 M dg disiplin. Yg jelas OTG harus karantina isolasi.`negatif;;
Masi ga paham tujuan nya apa pas psbb alfam*rt sama indom*rt baru buka jam 10`negatif;;
Selama Masa PSBB Transisidi DKI Jakarta tanggal 11-25 Januari 2021, sistem Ganjil Genap Ditiadakan.   #InfoSonora  via @DishubDKI_JKT @TMCPoldaMetro  https://t.co/mroWv1PBdI`positif;;
Pemprov DKI Jakarta sangat serius tegakkan aturan PSBB. Yuk kita dukung. Taati protokol kesehatan, tegur pelanggar, laporkan yang membandel.`positif;;
Kalau mau ditertibkan total sekalian ditertibkan Ben karuane remuk ajur ambyar sisan, ora mung seng cilik seng ketok seng dikukut  PSBB RAMUTU.`negatif;;
Beli Mobil Baru Selama PSBB  https://t.co/HQpNtJufWY  https://t.co/aIWtQyqDtU`positif;;
Psbb mangkate Madan Asoan`netral;;
#NAME?;;
Cuma bosgeng yg marah marah gegara kantorku gak ikut PSBB. Kantor ecommerce lain dah pada WFH dan yg WFO shift paling terakhir pulang jam 7 malem. Sementara kantorku masih full WFO dengan jam kerja shifting normal kaya ga ada PSBB 😅😂`negatif;;
4lpamart kok jam segini belom buka 😕 psbb gini bukanya jamber deh? 😕`negatif;;
Mau lockdown, atau PSBB, atau social distancing atau apapun namanya di galakkan ke masyarakat itu percuma, kalau peraturan ke para pengusahanya gak galak juga.`negatif;;
@mahdaauly kan PSBB, Pasti Seharian reBahan Badan. iya maksain sih`netral;;
Another psbb huh ? Great.`positif;;
@infomalang mohon info psbb malang... dari luar kota Masuk malang apakah di batasin ? Di batasin sampai jam berapa?`positif;;
Surabaya psbb? Ora tapi psby`negatif;;
@soloposdotcom Apa DLH ne yo melu baru libur PSBB WFH 2 minggu ya min ???`positif;;
@AT_AbdillahToha Makanya gak kaget jika ada daerah yg pecahin rekor, masih jelas masa PSBB...eh tiap hari, antrean mau masuk obyek wisata gak ketulungan🙄🙃`negatif;;
Lapis keju untuk gambarkan semua cara yang harus ditempuh untuk menekan penularan dan mengakhiri pandemi  #covid19 #vaksincovid #dirumahaja #jagajarak #pakaimasker #PSBB #ppkmpatuhi4m #ppkmpatuhiprokes #lockdown`positif;;
@28pegen psbb yo disana?`netral;;
Rezim hari ini kan jarang bener ngurus masalah sampe ke substansinya. Fokusnya sebatas seremonial aja, dari mulai jamu anti covid, PSBB yg nir manfaat, nah skrg urusan vaksin pake influencer. Top deh pokoknya!`negatif;;
@TetehMumu08 @GPrimasatya @sherinasinna Jadi nanti pun setelah vaksinasi masi PSBB terus?`netral;;
Separah itu Banjir nya Kalsel sampai bosku yg kupikir bakal tutup toko cuma pas kiamat, yang pas PSBB tetap buka toko, hari ini memundurkan jadwal buka toko jadi jam 2 siang`positif;;
@liputan6dotcom Bukannya lagi PSBB/PPKM yak. Ujung2nya Rakyatnya lagi aja yang salah. #BodoAmat #RaffiAhmad  https://t.co/eDw6TegfSQ`negatif;;
Nek wengi PSBB, nek awan sak karepe dewek haha`negatif;;
Hingga akhirnya Pemerintah kembali memutuskan utk Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) atau PSBB di Jawa-Bali mulai tanggal 11 Januari lalu. Sehingga kegiatan belajar mengajar di Sekolah-sekolah di lingkungan @kemenhub151 kembali menerapkan Pembelajaran Jarak Jauh.`positif;;
@uusutari13 PSBB eula😄😄`positif;;
@irayd26 Balikk kesinii!! Ayo ngeskrim, bakso, angringan, di atas bukit nun jauhh. Tapii.. lagi psbb ih`positif;;
Wait, kalo influencer bisa dibayar buat travel, pergi-pergi, kenapa pemerintah gak sekalian aja bayar para influencer ini buat stay di rumah dulu?  ya setidaknya selama masa psbb yg skrg ini.`positif;;
Pls banget, PSBB ini beneran diterusin dan nurunin kapasitas korporat, it's getting scary to work out here`positif;;
@cudble Not kpop twt related, but let me share this Mau belajar bahasa Inggris tapi ada Psbb? Kejauhan? Atau waktunya ga flexible? Don't worry, kalian bisa ikutan English online private class via WA/ messenger lainnya+ Google Meet. Di jamin seru dan lebih mudah ☺. Fee cuma 50k/meeting  https://t.co/8uGPWi4SRS`netral;;
bisa dibilang psbb atau apapun itu namanya tidak terlalu berpengaruh banyak, antrian di stasiun memang bisa dikondisikan seblum masuk tapi begitu masuk kereta karena kondisi penuh ya mana mungkin jaga jarak, terutama di jam-jam pulang kantor`negatif;;
Pengen nonton asih 2 dah. Ini tgl 15 jd psbb ga si di jakarta?`positif;;
psbb dimana2 terus gw nongkrong dmna ya klo gabut`positif;;
@JombloKemaki Jan e ki tok data sek sg do meh di bubarke njuk tok nehi beras lauk pauk selama psbb, kan yo ra akeh, eh tur yo opo menungso kaku, aturan yo aturan jare kan jembut~`negatif;;
Terus dia tiba-tiba pulang karena jkt psbb lama sampe akhir bulan. Shit enak banget dia pp sesukanya-_-  https://t.co/Lj8YbK4qHc`negatif;;
Jog! Perbatasan magelang-jogja ada pemeriksan gak selama psbb? Makasih`positif;;
@jogjaole Malang psbb?     Arema boss!!`netral;;
@hasantoysss Solo ra di PSBB malah apik, mesakne pedagang kecil yoan nek psbb`negatif;;
#Pemerintah akan selalu terlihat salah kalo masyarakatnya tidak mau ikut bekerja sama. Nggak Tegas, disalah-salahin. Giliran Tegas, pada nggak nurut dan nuduh pemerintah nggak dukung masyarakat. Lah terus maunya apa? #PSBB #psbbuntukkitasehat`negatif;;
@3CareIndonesia #PSBB ditempatku tertib min selalu hindari kerumunan, gunakan masker, selalu cuci tangan dengan sabun. Dan pastinya #StayAtHome streaming video pakai Tri lancar jaya. Mantap #3CareForyou`positif;;
@YudhaShanny2 @FDerKanzler @CCICPolri @Tonga_Nixon @MbahDinNU @Namaku_Mei Langsung min... jangan sampai lewat masa PSBB. @CCICPolri`positif;;
and if you’re still outside for non essential reason, go home. mandek aja dulu sih sampe selesai psbb, if everyone work for this we might have a chance of an actual “new normal” by the middle of this year. PLEASE.`positif;;
@energitodayID Ketahanan stok pertanggal 10 Januari khusus  di Jateng dan DIY sebelum PSBB adalah hingga 11 hari untuk BBM bersubsidi, dan BBM non subsidi hingga 16 hari, itulah komitmen Pertamina andal dalam pelayanan dan ketahanan energi.#EnergizingYou`positif;;
